timestamp, index, name, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.used [MiB]
2025/12/01 20:02:21.618, 0, NVIDIA A100-SXM4-80GB, 10 %, 0 %, 81920 MiB, 4377 MiB
2025/12/01 20:02:26.620, 0, NVIDIA A100-SXM4-80GB, 10 %, 0 %, 81920 MiB, 4377 MiB
2025/12/01 20:02:31.621, 0, NVIDIA A100-SXM4-80GB, 9 %, 0 %, 81920 MiB, 4377 MiB
2025/12/01 20:02:36.622, 0, NVIDIA A100-SXM4-80GB, 10 %, 0 %, 81920 MiB, 4377 MiB
2025/12/01 20:02:41.624, 0, NVIDIA A100-SXM4-80GB, 9 %, 0 %, 81920 MiB, 4377 MiB
2025/12/01 20:02:46.626, 0, NVIDIA A100-SXM4-80GB, 11 %, 0 %, 81920 MiB, 4377 MiB
2025/12/01 20:02:51.628, 0, NVIDIA A100-SXM4-80GB, 9 %, 0 %, 81920 MiB, 4377 MiB
2025/12/01 20:02:56.629, 0, NVIDIA A100-SXM4-80GB, 10 %, 0 %, 81920 MiB, 4377 MiB
2025/12/01 20:03:01.631, 0, NVIDIA A100-SXM4-80GB, 12 %, 0 %, 81920 MiB, 4377 MiB
2025/12/01 20:03:06.632, 0, NVIDIA A100-SXM4-80GB, 9 %, 0 %, 81920 MiB, 4377 MiB
2025/12/01 20:03:11.633, 0, NVIDIA A100-SXM4-80GB, 11 %, 0 %, 81920 MiB, 4377 MiB
2025/12/01 20:03:16.635, 0, NVIDIA A100-SXM4-80GB, 11 %, 0 %, 81920 MiB, 4377 MiB
2025/12/01 20:03:21.636, 0, NVIDIA A100-SXM4-80GB, 10 %, 0 %, 81920 MiB, 4377 MiB
2025/12/01 20:03:26.638, 0, NVIDIA A100-SXM4-80GB, 10 %, 0 %, 81920 MiB, 4377 MiB
2025/12/01 20:03:31.640, 0, NVIDIA A100-SXM4-80GB, 9 %, 0 %, 81920 MiB, 4377 MiB
2025/12/01 20:03:36.641, 0, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 81920 MiB, 4377 MiB
2025/12/01 20:03:41.643, 0, NVIDIA A100-SXM4-80GB, 9 %, 0 %, 81920 MiB, 4377 MiB
2025/12/01 20:03:46.645, 0, NVIDIA A100-SXM4-80GB, 10 %, 0 %, 81920 MiB, 4377 MiB
2025/12/01 20:03:51.646, 0, NVIDIA A100-SXM4-80GB, 10 %, 0 %, 81920 MiB, 4377 MiB
2025/12/01 20:03:56.648, 0, NVIDIA A100-SXM4-80GB, 9 %, 0 %, 81920 MiB, 4377 MiB
2025/12/01 20:04:01.649, 0, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 81920 MiB, 4377 MiB
2025/12/01 20:04:06.651, 0, NVIDIA A100-SXM4-80GB, 10 %, 0 %, 81920 MiB, 4377 MiB
2025/12/01 20:04:11.652, 0, NVIDIA A100-SXM4-80GB, 10 %, 0 %, 81920 MiB, 4377 MiB
