procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 5  0 391556 175195568  35688 798151104    0    0     0  4128 7978 3330  2  0 98  0  0
 4  0 391556 175193120  35688 798151168    0    0     0     0 8106 3793  2  0 98  0  0
 4  0 391556 175190176  35688 798151168    0    0     0     0 10403 4198  2  0 97  0  0
 4  0 391556 175193488  35688 798151168    0    0     0    12 8051 3474  2  0 98  0  0
 4  0 391556 175190976  35688 798151168    0    0     0     0 7591 2927  2  0 98  0  0
131  0 391556 175186352  35688 798151168    0    0     0     0 36492 6833  6  0 94  0  0
131  0 391556 175180928  35688 798151168    0    0     0    16 98381 14929 18  0 82  0  0
88  0 391556 175177072  35688 798151168    0    0     0   188 48848 13501 15  0 84  0  0
259  0 391556 174487648  35688 798151168    0    0     0   128 81625 11569 23  1 76  0  0
 6  0 391556 175022720  35688 798162048    0    0     0   179 56081 22000  9  1 91  0  0
 6  0 391556 175045824  35688 798170240    0    0     0    65 17842 18014  2  1 97  0  0
 5  0 391556 175034976  35688 798177920    0    0     0     0 15803 16814  3  1 97  0  0
 5  0 391556 175023536  35688 798181184    0    0     0     0 18990 16239  3  0 96  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
