procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  0 147560 99231632  26836 875030656    0    0     0     0 40094 11349 13  0 87  0  0
130  0 147560 99231800  26836 875030656    0    0     0     0 58783 14312 19  0 80  0  0
130  0 147560 99224992  26836 875030656    0    0     0   211 62797 12249 21  1 78  0  0
130  0 147560 99221632  26836 875030656    0    0     0   196 61556 15950 20  0 79  0  0
 3  0 147560 99582624  26836 875030656    0    0     0     0 86687 14236 21  1 78  0  0
 3  0 147560 99653504  26836 875030656    0    0     0     0 52963 15475 14  0 85  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 8  0 147560 99630544  26836 875030784    0    0     4   461 72020 36702 17  1 82  0  0
123  0 147560 98975864  26836 875030720    0    0     0    13 74242 23397 23  1 76  0  0
131  0 147560 99630368  26836 875030720    0    0     0  3400 51413 22900 14  1 85  0  0
 5  0 147560 99629576  26836 875030784    0    0     0    45 55529 27513 15  1 84  0  0
132  0 147560 98975680  26836 875030784    0    0     0     0 72567 25249 21  1 77  0  0
 3  0 147560 99623824  26836 875030784    0    0     0  1774 57521 21748 17  1 82  0  0
130  0 147560 99625024  26836 875030784    0    0     0     0 51713 14322 17  0 83  0  0
130  0 147560 98944256  26836 875030784    0    0     0   174 59338 11993 19  1 80  0  0
 3  0 147560 99624872  26836 875030784    0    0     0     3 53573 12662 18  0 82  0  0
105  0 147560 99625008  26836 875030784    0    0     0     0 45246 12098 14  0 85  0  0
131  0 147560 99653888  26836 875030784    0    0     0   653 66008 14305 21  1 78  0  0
 3  0 147560 99631768  26836 875030784    0    0     0    15 41264 11535 13  0 87  0  0
130  0 147560 99631896  26836 875030784    0    0     0   104 45337 12268 15  0 85  0  0
130  0 147560 99403392  26836 875030784    0    0     0   627 44645 9041 15  0 85  0  0
 4  0 147560 99651256  26836 875030784    0    0     0     3 58747 13077 19  1 81  0  0
 4  0 147560 99646104  26836 875030784    0    0     0   354 47179 13430 15  0 85  0  0
 3  0 147560 99645592  26836 875030784    0    0     0    18 39989 10582 13  0 87  0  0
132  0 147560 99645504  26836 875030784    0    0     0     0 59122 10026 20  1 80  0  0
 3  0 147560 99635776  26836 875041856    0    0     0   144 51557 11482 17  0 83  0  0
 3  0 147560 99630736  26836 875042304    0    0     0     2 39431 10670 13  0 87  0  0
 3  0 147560 99629816  26836 875042304    0    0     0     0 59639 14196 18  0 82  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  0 147560 99655488  26836 875042304    0    0     0     0 62387 9467 20  1 79  0  0
 3  0 147560 99644880  26836 875042304    0    0     0     0 48128 14904 15  0 85  0  0
 3  0 147560 99644912  26836 875042368    0    0     0     0 49484 12362 16  0 84  0  0
 3  0 147560 99644984  26836 875042368    0    0     0 11664 61542 8956 21  1 79  0  0
 5  0 147560 99627528  26836 875042176    0    0     0    88 44908 13737 14  0 85  0  0
 8  0 147560 99458608  26836 875042176    0    0     0   186 66508 21003 20  0 79  0  0
131  0 147560 99369184  26836 875042176    0    0     0     0 60225 10396 19  1 80  0  0
 5  0 147560 99205744  26836 875042176    0    0     0     0 58898 16531 19  0 81  0  0
 4  0 147560 99049816  26836 875042176    0    0     0  2044 74161 15405 17  0 83  0  0
10  0 147560 99016096  26836 875042176    0    0     0     0 114056 15798 26  1 73  0  0
 5  0 147560 98948816  26836 875042176    0    0     0     0 84415 17351 15  0 85  0  0
132  0 147560 98815216  26836 875042176    0    0     0     2 76725 16681 14  0 85  0  0
131  0 147560 97998336  26836 875042176    0    0     0     0 90107 15264 23  1 76  0  0
132  0 147560 98618520  26836 875042176    0    0     0   140 65519 13618 15  0 84  0  0
 3  0 147560 98605832  26836 875042176    0    0     0     0 57660 14582 19  0 81  0  0
130  0 147560 98606416  26836 875042176    0    0     0     0 73836 11678 23  1 76  0  0
134  0 147560 98603272  26836 875042176    0    0     0     6 56938 15635 18  0 82  0  0
 3  0 147560 98602416  26836 875042176    0    0     0   264 61495 16008 19  0 81  0  0
 3  0 147560 98601408  26836 875042240    0    0     0    19 68288 10276 23  1 76  0  0
 4  0 147560 98610032  26836 875042240    0    0     0  1460 50134 14210 16  0 84  0  0
 3  0 147560 98609904  26836 875042304    0    0     0    12 53536 12119 17  0 82  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
130  0 147560 98609032  26836 875042304    0    0     0     0 62629 10326 21  1 78  0  0
130  0 147560 98608720  26836 875042304    0    0     0     0 50335 13798 16  0 84  0  0
 3  0 147560 98604640  26836 875042368    0    0     0   675 52700 16242 16  0 83  0  0
 3  0 147560 98604616  26836 875042368    0    0     0    12 70411 10959 23  1 77  0  0
130  0 147560 98603400  26836 875042368    0    0     0  3255 50526 14556 16  0 84  0  0
130  0 147560 98224776  26836 875042432    0    0     0     0 66609 13291 22  1 77  0  0
 3  0 147560 98600696  26836 875042496    0    0     0     0 58413 13669 19  1 81  0  0
 4  0 147560 98601104  26836 875042496    0    0     0   128 54039 14165 17  0 83  0  0
 3  0 147560 98599936  26836 875042560    0    0     0    53 65880 11650 21  1 78  0  0
130  0 147560 98584096  26836 875042560    0    0     0   124 44145 12266 14  0 86  0  0
 3  0 147560 98586704  26836 875042560    0    0     0     0 42543 11614 14  0 86  0  0
